"tweet_id","text","label"
"1238600642136100864","The shelves in Walmart are empty. Water, disinfectant and toilet paper are gone. #CoronaOutbreak  #Baltimore HTTPURL","0"
"1237069037957505027","Hand disinfectant ready for lessons in Donabate today #COVID2019 #coronavirus #WashYourHands HTTPURL","0"
"1291777015352365056","She had the infant in a carrier that was covered FYI #coronavirus","0"
"1276057360281202688","@USER I think so:grinning_face_with_sweat:. Just kidding. Summertime I use soups like mushroom soup with noodles and beef but if I'm having soup I let it cool first. If I were to get #Covid_19 I would eat and drink hot","1"
"1251302108885852160","Sunlight destroys #CoronaChan #ChinaFlu #WuhanCoronaVirus 

HTTPURL","1"
"1225902057426694145","CleanSmart Disinfectant Spray Mist Kills 99.9% of Viruses, Bacteria, Germs, Mold, Fungus. 2-16oz. HTTPURL  #ad #coronavirus #coronaoutbreak #wuhanflu #chinaflu #flu #corona #virus #CoronavirusOutbreak #coronaviruswuhan","0"
"1224724294908944386","PURELL Multi-Surface Disinfectant Spray by Purell for $18.61 HTTPURL  @USER #ad #coronavirus #coronaoutbreak #wuhanflu #chinaflu #flu #corona #virus #CoV2019 #CoronavirusOutbreak #coronaviruswuhan #coronaviruse #coronarivirus #outbreak #beprepared","0"
"1233987861189472256","Clorox Saalfeld 30824 Healthcare Hydrogen Peroxide Cleaner Disinfectant Wipes (Pack of 570) HTTPURL ad #coronavirus #coronaoutbreak #corona #virus #CoronavirusOutbreak #coronaviruswuhan #COVID2019 #wuhanvirus #CoronavirusUSA #pandemic #COVIDー19 #nCoV19 #COVID19US","0"
"1244914545287626752","MAKE #PRAYERS TO GOD (ELOHIM) AGAINST 

#COVID2019 #COVID19 #COVID_19NEWS #COVID19france #Covid_19 #covid19UK #COVID2019de #COVIDー19 #COVID2019france #COVID19dz #COVID19fr #COVID19italia #COVID19BE #COVID #COVID19KE #Covid_19fr 

MORE PRAYERS LESS CONTAMINATIONS.","0"
"1297218350037245954","@USER more evidence that kids do not play a part in transmission of #COVID19 HTTPURL","0"
"1266524081840697346","Venrap Radio Now Playing Venrap Radio HTTPURL by #coronavirus is real stay home and listen to the number one hip hop Radio click here HTTPURL Download our app or listen on HTTPURL","0"
"1237765206396280836",".@USER is now limiting the number of hand sanitizers and disinfectant wipes per customer. HTTPURL #Target #Coronavirus #CoronavirusOutbreak #coronavirusprevention #COVID19","0"
"1282469691693436928","#BreakingNews question? #Covid creates #AsthmaLikeSymptoms and inflammation in the lungs..Why aren't we treating these symptoms and reducing inflammation ? Why aren't we using existing medication like #Albuterol &amp; antibiotics? #DemocratsDontWantCovidCute","0"
"1255049981951606784","I am bored in the :house: #COVID19italia #Covid19usa #Covid_19","0"
"1230707588381044739","Just saw this on Amazon: Professional Lysol Disinfectant Spray, Crisp Linen, 228oz (12X19oz) HTTPURL #ad #coronavirus #coronaoutbreak #wuhanflu #chinaflu #flu #virus #CoronavirusOutbreak #coronaviruswuhan #2019nCoV #COVID19 #CoronavirusUSA","0"
"1282473361147387905",":ice_hockey::fire:New episode of What The Puck! dropping on YouTube tomorrow. Talking @USER CBA, Playoff Schedule, and some other hot button issues. Keep your eyes peeled!! Hockey is back baby!!! #NHL #NHLPlayoffs #Covid #Toronto #Edmonton #HockeyHubs HTTPURL","0"
"1220221841760903168","My wechat moments are dominated by #WuhanCoronavirus posts from the mainland. The worry stretches far - many posts are from my contacts in BJ / SH.  

There's also quite a bit of what looks like spurious advice about riding out fevers and using disinfectant as a cure! HTTPURL","1"
"1236889906686955520","Would you get a disinfectant service at your home/office admist #CoronaOutbreak","0"
"1292148045048512512","@USER @USER @USER There there, go drink bat soup, you guys need #WuhanCoronavirus for the coming freezing long winter!","0"
"1235389696982859776","#FactCheck Spraying disinfectant is needed in every city during the epidemic? The move is not applicable to other less affected areas because the virus can hardly be transmitted through the open air. #coronavirus #COVID19 HTTPURL","0"
"1272960958953148416","Bet they kill off Dot with #Coronavirus. #EastEnders","0"
"1264603054264987648","RAMBOlow kills the #Coronavirus :winking_face: HTTPURL","0"
"1273046075625086978","New York reports 3 new cases bringing total confirmed cases there to 405,785 and 30,998 total deaths, with 646 new cases and 46 new deaths reported today.

#CoronaVirus #Covid19 #CoronaVirusOutbreak","0"
