"tweet_id","text","label"
"1232657256606507008","#Trump predicts that #coronavirus will burn itself out with warmer weather in April. What is he? The official #CDC groundhog?","1"
"1297653624160628736","This plasma announcement makes us refuse a vacc in the future @USER @USER @USER @USER @USER @USER @USER no blk ppl will be taking shit that may Kill them on the spot. @USER @USER #COVID","0"
"1271813442555523073","@USER @USER Hey, that's another second high. Are we really on the right track? #CoronaVirusUpdate","0"
"1235754425357979651","@USER When nurses, ward boys, interns, docs leave their ones at home &amp; report for duty or do not go back home at all (c china pics), these times cud b now 4us if that heat kills #covid theory is null, in such times their effort is none less than a saints .. glad v hav many of these","1"
"1253332767238000640","Dear @USER I'm a jio network user since 2 years , due to #coronavirus #lockdown I'm not able to Recharge my Number +918962640826 and can't talk to my family. I'm in trouble without recharge.Please help and please give some recharge in credit. @USER @USER @USER","0"
"1273046233326723079","#coronavirus update in #Guinea. New cases confirmed 67, new recovered 68. Total cases in Guinea confirmed 4639, recovered 3327, deaths 26. +1.47% daily cases increase, 67 reported today UTC time.","0"
"1262365935710724097","Stop the spread of #fakenews right away! Break the chain.
#vpledgedelivery #fakenewsmedia #breakthechain #stopthespread #lockdown #lockdown2020 #coronavirus #covid_19 #lockdown4  #mumbai #CoronaAlert #lockdownextension #quarantinedays #QuarantineLife #quarantinefeelings #freetime HTTPURL","0"
"1255059283894587392","Gullie’s suit.
Hats off to this policeman for performing duty at such scorching heat, he found a source of shadow and stood there.
Imagine someone burning like this, can u be the shadow ?? :upside-down_face:
#corona HTTPURL","0"
"1232387405589745669","@USER Dear @USER congrats on denying science, thinking April's warm weather will tackle the #coronavirus, dismantling the CDC, the FDA and the environment, &amp; tanking the #DowJoans (oh, &amp; I know how to spell it, but am still reeling over your inability to spell it). HTTPURL","1"
"1271765328209436672","#CoronaVirusindia Delhi High Court directs Centre, Delhi govt to increase beds, ventilators for COVID-19 patients in national capital #CoronaVirus #Covid19 #pandemic #InfectiousDisease #CoronaVirusUpdate #delhi","0"
"1237358078099587073","#coronavirus #MythBusting courtesy of the @USER 
Cold weather can not kill the coronavirus HTTPURL","1"
"1237891567374852097","Sunshine and warmer weather can’t get here soon enough #COVID19","1"
"1273045927989829632","Depending on where you are, it is not simple to get a #coronavirus test. This article more or less describes my experience in Montgomery County, MD.

HTTPURL","0"
"1232492556551766016","The #Coronavirus crisis is going to end once the warm weather gets here. 
Well, that's what #DerangedDonald :tangerine: said. :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:
#DemDebate","1"
"1233213983160664064","- State leaders address #coronavirus concerns.

- Another House committee passes E-Verify bill.

- Broward County declares cold weather emergency tonight.

Your evening news roundup: HTTPURL","0"
"1250575162472349716","Students in #Missouri are making protective equipment for healthcare workers on the frontline of #coronavirus #STEM  HTTPURL","0"
"1235975086466875392","How's the spread of #coronavirus in Australia? 
Is the theory of a warmer weather stopping its proliferation true?","1"
